kom2024,aar,parti,stemmer,total_stemmer_alle_partier,prosent_alle
1114,2015,06,0,1472,0.0
1114,2015,07,86,1472,5.84
1114,2015,08,0,1472,0.0
1114,2015,55,0,1472,0.0
1114,2019,01,161,1486,10.83
1114,2019,02,0,1486,0.0
1114,2019,03,375,1486,25.24
1114,2019,04,296,1486,19.92
1114,2019,05,543,1486,36.54
1114,2019,06,0,1486,0.0
1114,2019,07,111,1486,7.47
1114,2019,08,0,1486,0.0
1114,2019,55,0,1486,0.0
1114,2023,01,167,1501,11.13
1114,2023,02,102,1501,6.8
1114,2023,03,323,1501,21.52
1114,2023,04,337,1501,22.45
1114,2023,05,252,1501,16.79
1114,2023,06,0,1501,0.0
1114,2023,07,0,1501,0.0
1114,2023,08,0,1501,0.0
1114,2023,55,0,1501,0.0
1119,1987,01,588,6402,9.18
1119,1987,02,249,6402,3.89
1119,1987,03,380,6402,5.94
1119,1987,04,1080,6402,16.87
1119,1987,05,448,6402,7.0
1119,1987,06,157,6402,2.45
1119,1987,07,0,6402,0.0
1119,1987,08,0,6402,0.0
1119,1987,55,0,6402,0.0
1119,1991,01,449,6357,7.06
1119,1991,02,229,6357,3.6
1119,1991,03,530,6357,8.34
1119,1991,04,1231,6357,19.36
1119,1991,05,1165,6357,18.33
1119,1991,06,332,6357,5.22
1119,1991,07,123,6357,1.93
1119,1991,08,0,6357,0.0
1119,1991,55,0,6357,0.0
1119,1995,01,601,6296,9.55
1119,1995,02,460,6296,7.31
1119,1995,03,613,6296,9.74
1119,1995,04,1398,6296,22.2
1119,1995,05,1562,6296,24.81
1119,1995,06,254,6296,4.03
1119,1995,07,97,6296,1.54
1119,1995,08,0,6296,0.0
1119,1995,55,0,6296,0.0
1119,1999,01,534,6185,8.63
1119,1999,02,761,6185,12.3
1119,1999,03,941,6185,15.21
1119,1999,04,1335,6185,21.58
1119,1999,05,1195,6185,19.32
1119,1999,06,297,6185,4.8
1119,1999,07,94,6185,1.52
1119,1999,08,0,6185,0.0
