"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","validFromInRequestedRange","validToInRequestedRange","notes"
"1853","06","2","Evenes","","","","","","","528"
"1854","04","2","Ballangen (-2019)","","","","","","","686"
"1856","06","2","Røst","","","","","","","366"
"1857","06","2","Værøy","","","","","","","370"
"1859","06","2","Flakstad","","","","","","","522"
"1860","05","2","Vestvågøy","","","","","","","631"
"1865","05","2","Vågan","","","","","","","650"
"1866","05","2","Hadsel","","","","","","","605"
"1867","06","2","Bø (Nordland)","","","","","","","497"
"1868","05","2","Øksnes","","","","","","","584"
"1870","04","2","Sortland - Suortá","","","","","","","670"
"1871","06","2","Andøy","","","","","","","517"
"1874","06","2","Moskenes","","","","","","","442"
"1875","06","2","Hamarøy","","","","","","","405"
"1901","04","2","Harstad (-2012)","","","","","","","738"
"1902","03","2","Tromsø (-2019)","","","","","","","803"
"1903","04","2","Harstad - Hárstták (2013-2019)","","","","","","","738"
"1911","05","2","Kvæfjord (-2019)","","","","","","","587"
"1913","06","2","Skånland (-2019)","","","","","","","542"
"1915","04","2","Bjarkøy (-2012)","","","","","","","738"
"1917","06","2","Ibestad (-2019)","","","","","","","447"
"1919","06","2","Gratangen (-2019)","","","","","","","509"
"1920","06","2","Loabák - Lavangen (-2019)","","","","","","","517"
"1922","05","2","Bardu (-2019)","","","","","","","597"
"1923","06","2","Salangen (1977-2019)","","","","","","","552"
"1924","05","2","Målselv (-2019)","","","","","","","576"
"1925","05","2","Sørreisa (-2019)","","","","","","","610"
"1926","06","2","Dyrøy (-2019)","","","","","","","496"
"1927","05","2","Tranøy (-2019)","","","","","","","611"
"1928","05","2","Torsken (-2019)","","","","","","","611"
"1929","05","2","Berg (-2019)","","","","","","","611"
"1931","05","2","Lenvik (-2019)","","","","","","","611"
"1933","06","2","Balsfjord (-2019)","","","","","","","557"
"1936","06","2","Karlsøy (-2019)","","","","","","","452"
"1938","06","2","Lyngen (-2019)","","","","","","","486"
"1939","06","2","Storfjord - Omasvuotna - Omasvuono (-2019)","","","","","","","516"
"1940","06","2","Gáivuotna - Kåfjord - Kaivuono (-2019)","","","","","","","431"
"1941","06","2","Skjervøy (-2019)","","","","","","","556"
"1942","05","2","Nordreisa - Ráisa - Raisi (-2019)","","","","","","","570"
"1943","06","2","Kvænangen (-2019)","","","","","","","438"
"2001","04","2","Hammerfest (-1991)","","","","","","","682"
"2002","06","2","Vardø (-2019)","","","","","","","515"
"2003","05","2","Vadsø (-2019)","","","","","","","641"
"2004","04","2","Hammerfest (1992-2019)","","","","","","","682"
"2011","06","2","Guovdageaidnu - Kautokeino (-2019)","","","","","","","495"
"2012","04","2","Alta (-2019)","","","","","","","713"
"2014","06","2","Loppa (-2019)","","","","","","","351"
"2015","06","2","Hasvik (-2019)","","","","","","","351"
"2016","04","2","Sørøysund (-1991)","","","","","","","682"
"2017","04","2","Kvalsund (-2019)","","","","","","","682"
"2018","06","2","Måsøy (-2019)","","","","","","","397"
"2019","06","2","Nordkapp (-2019)","","","","","","","525"
"2020","06","2","Porsanger - Porsángu - Porsanki (-2019)","","","","","","","543"
"2021","06","2","Kárásjohka - Karasjok (-2019)","","","","","","","554"
"2022","06","2","Lebesby (-2019)","","","","","","","430"
"2023","06","2","Gamvik (-2019)","","","","","","","407"
"2024","06","2","Berlevåg (-2019)","","","","","","","426"
"2025","06","2","Deatnu - Tana (-2019)","","","","","","","490"
"2027","06","2","Unjárga - Nesseby (-2019)","","","","","","","476"
"2028","06","2","Båtsfjord (-2019)","","","","","","","538"
"2030","05","2","Sør-Varanger (-2019)","","","","","","","634"
"3001","03","2","Halden","","","","","","","842"
"3002","02","2","Moss","","","","","","","900"
"3003","02","2","Sarpsborg","","","","","","","877"
"3004","02","2","Fredrikstad","","","","","","","870"
"3005","02","2","Drammen","","","","","","","912"
"3006","03","2","Kongsberg","","","","","","","848"
"3007","03","2","Ringerike","","","","","","","838"
"3011","04","2","Hvaler","","","","","","","723"
"3012","05","2","Aremark","","","","","","","662"
"3013","04","2","Marker","","","","","","","732"
"3014","03","2","Indre Østfold","","","","","","","858"
